OwnerId,Owner_StartDt,Owner_EndDt,Owner_Channel
OWN-001,2026-02-14T00:00:00Z,,NewSale
OWN-002,2026-01-30T00:00:00Z,,NewSale
OWN-003,2026-03-04T00:00:00Z,,NewSale
OWN-004,2026-02-21T00:00:00Z,,NewSale
OWN-005,2026-01-12T00:00:00Z,,Lease
OWN-006,2026-03-19T00:00:00Z,,NewSale
OWN-007,2026-02-08T00:00:00Z,,NewSale
OWN-008,2026-03-25T00:00:00Z,,NewSale
OWN-009,2026-04-02T00:00:00Z,,NewSale
OWN-010,2026-01-22T00:00:00Z,,Fleet
OWN-011,2026-04-12T00:00:00Z,,Lease
OWN-012,2026-02-28T00:00:00Z,,Fleet
OWN-013,2024-08-15T00:00:00Z,,NewSale
OWN-014,2026-03-10T00:00:00Z,,NewSale
OWN-015,2026-02-05T00:00:00Z,,NewSale
