VIN,SessionId
1NDEQ52026A100001,DS-001
1NDEQ52026A100001,DS-002
1NDEQ52026A100002,DS-003
1NDEQ52026A100002,DS-004
WDB22220262100004,DS-005
WDB22220262100005,DS-006
WDB22220262100005,DS-007
LFV33330262100007,DS-008
LFV33330262100008,DS-009
LFV33330262100008,DS-010
1NDCR52026A100012,DS-011
WDB22220262100014,DS-012
1NDVO42024A100013,DS-013
WDB22220262100004,DS-014
1NDLT52026A100010,DS-015
1NDLT52026A100010,DS-016
WDB22220262100006,DS-017
1NDEQ52026A100001,DS-018
WDB22220262100005,DS-019
LFV33330262100007,DS-020
